system,run,side,fraction,percent,JSD
H3,1,Entry,0.1,10.0,0.005124342764376349
H3,1,Entry,0.2,20.0,0.0014964144869613494
H3,1,Entry,0.30000000000000004,30.000000000000004,0.0010784325506597676
H3,1,Entry,0.4,40.0,0.0007856570726338522
H3,1,Entry,0.5,50.0,0.0008266346621696283
H3,1,Entry,0.6,60.0,0.0005475938861284984
H3,1,Entry,0.7000000000000001,70.0,9.367921771858748e-05
H3,1,Entry,0.8,80.0,0.0001108447906545087
H3,1,Entry,0.9,90.0,0.00013324525726543824
H3,1,Exit,0.1,10.0,0.005420618656960701
H3,1,Exit,0.2,20.0,0.0017453199034438945
H3,1,Exit,0.30000000000000004,30.000000000000004,0.001354796715959358
H3,1,Exit,0.4,40.0,0.0004913494616408321
H3,1,Exit,0.5,50.0,0.0003427429248666748
H3,1,Exit,0.6,60.0,0.00015038798825868106
H3,1,Exit,0.7000000000000001,70.0,0.00010304493537767245
H3,1,Exit,0.8,80.0,8.667747410966488e-05
H3,1,Exit,0.9,90.0,4.1063529925126766e-05
H3,2,Entry,0.1,10.0,0.002500678277859799
H3,2,Entry,0.2,20.0,0.000922249563934064
H3,2,Entry,0.30000000000000004,30.000000000000004,0.0011278869496465559
H3,2,Entry,0.4,40.0,0.001163718959183498
H3,2,Entry,0.5,50.0,0.00023143639717326624
H3,2,Entry,0.6,60.0,0.00025921848581991584
H3,2,Entry,0.7000000000000001,70.0,0.00017667648079064462
H3,2,Entry,0.8,80.0,0.00012968059462853512
H3,2,Entry,0.9,90.0,9.001406951655924e-05
H3,2,Exit,0.1,10.0,0.001999800907684607
H3,2,Exit,0.2,20.0,0.0018676492759489697
H3,2,Exit,0.30000000000000004,30.000000000000004,0.0007128700521597837
H3,2,Exit,0.4,40.0,0.0004144438157872148
H3,2,Exit,0.5,50.0,0.00034661475062379904
H3,2,Exit,0.6,60.0,0.00031466496376876866
H3,2,Exit,0.7000000000000001,70.0,0.00012141674085509966
H3,2,Exit,0.8,80.0,6.128784276728537e-05
H3,2,Exit,0.9,90.0,2.3210870297848514e-05
H3,3,Entry,0.1,10.0,0.0027222746270372244
H3,3,Entry,0.2,20.0,0.0008217205345514094
H3,3,Entry,0.30000000000000004,30.000000000000004,0.000535979931537748
H3,3,Entry,0.4,40.0,0.0002740003322696711
H3,3,Entry,0.5,50.0,0.00011704119636305192
H3,3,Entry,0.6,60.0,0.0001207530601190048
H3,3,Entry,0.7000000000000001,70.0,7.685569500728986e-05
H3,3,Entry,0.8,80.0,2.1819503368822674e-05
H3,3,Entry,0.9,90.0,6.567346588538106e-05
H3,3,Exit,0.1,10.0,0.0020114670499698376
H3,3,Exit,0.2,20.0,0.0015821773628406323
H3,3,Exit,0.30000000000000004,30.000000000000004,0.0011906240648641318
H3,3,Exit,0.4,40.0,0.0006543473628046084
H3,3,Exit,0.5,50.0,0.00041507399257762287
H3,3,Exit,0.6,60.0,0.00021291807132968628
H3,3,Exit,0.7000000000000001,70.0,0.00011024708469666968
H3,3,Exit,0.8,80.0,4.665991179702242e-05
H3,3,Exit,0.9,90.0,3.0379773596231018e-05
H3,4,Entry,0.1,10.0,0.007737607051390814
H3,4,Entry,0.2,20.0,0.0008737672320121375
H3,4,Entry,0.30000000000000004,30.000000000000004,0.000682505094773779
H3,4,Entry,0.4,40.0,0.0004040769761425555
H3,4,Entry,0.5,50.0,0.0004943350747811946
H3,4,Entry,0.6,60.0,0.00016751865102627235
H3,4,Entry,0.7000000000000001,70.0,8.953867436257659e-05
H3,4,Entry,0.8,80.0,3.311740291002171e-05
H3,4,Entry,0.9,90.0,3.565712857620013e-05
H3,4,Exit,0.1,10.0,0.0016595350133999489
H3,4,Exit,0.2,20.0,0.0013428526124400378
H3,4,Exit,0.30000000000000004,30.000000000000004,0.0007692351508339582
H3,4,Exit,0.4,40.0,0.0008516693910514581
H3,4,Exit,0.5,50.0,0.0005382167379656508
H3,4,Exit,0.6,60.0,0.00044323487108262604
H3,4,Exit,0.7000000000000001,70.0,0.00014191345459429536
H3,4,Exit,0.8,80.0,0.0001597306514007824
H3,4,Exit,0.9,90.0,0.0001546549122823973
exnotailH3,1,Entry,0.1,10.0,0.0019452368880964214
exnotailH3,1,Entry,0.2,20.0,0.002731661788854019
exnotailH3,1,Entry,0.30000000000000004,30.000000000000004,0.0027614802741951485
exnotailH3,1,Entry,0.4,40.0,0.0017391229146900336
exnotailH3,1,Entry,0.5,50.0,0.0013401138350918997
exnotailH3,1,Entry,0.6,60.0,0.0008285088983616383
exnotailH3,1,Entry,0.7000000000000001,70.0,0.0007897163506488318
exnotailH3,1,Entry,0.8,80.0,0.000744138358519412
exnotailH3,1,Entry,0.9,90.0,0.00013836120376983438
exnotailH3,1,Exit,0.1,10.0,0.002791261764501321
exnotailH3,1,Exit,0.2,20.0,0.0014987395403611632
exnotailH3,1,Exit,0.30000000000000004,30.000000000000004,0.0014838245310107852
exnotailH3,1,Exit,0.4,40.0,0.0007610758996888401
exnotailH3,1,Exit,0.5,50.0,0.0005985006036910078
exnotailH3,1,Exit,0.6,60.0,0.00029736987209711275
exnotailH3,1,Exit,0.7000000000000001,70.0,0.00021724046523122152
exnotailH3,1,Exit,0.8,80.0,0.00013605925086013974
exnotailH3,1,Exit,0.9,90.0,0.00012560471236451132
exnotailH3,2,Entry,0.1,10.0,0.005629183694258404
exnotailH3,2,Entry,0.2,20.0,0.0012107237336785438
exnotailH3,2,Entry,0.30000000000000004,30.000000000000004,0.0017313191002778549
exnotailH3,2,Entry,0.4,40.0,0.0008034676807764697
exnotailH3,2,Entry,0.5,50.0,0.0009594700667935455
exnotailH3,2,Entry,0.6,60.0,0.0005752494813405599
exnotailH3,2,Entry,0.7000000000000001,70.0,0.0008955453520124151
exnotailH3,2,Entry,0.8,80.0,0.000652447564028526
exnotailH3,2,Entry,0.9,90.0,0.0006997247975060894
exnotailH3,2,Exit,0.1,10.0,0.007305669008908829
exnotailH3,2,Exit,0.2,20.0,0.007745484768506704
exnotailH3,2,Exit,0.30000000000000004,30.000000000000004,0.006716309425019341
exnotailH3,2,Exit,0.4,40.0,0.0077891973680801795
exnotailH3,2,Exit,0.5,50.0,0.007575479396680087
