system,side,percent,mean_JSD,sem_JSD
H3,Entry,10.0,0.004521225680166047,0.0012256867476013828
H3,Entry,20.0,0.0010285379543647402,0.0001573036059479565
H3,Entry,30.000000000000004,0.0008562011316544626,0.00014603421902742206
H3,Entry,40.0,0.0006568633350573942,0.00020082651565970843
H3,Entry,50.0,0.00041736183262178526,0.00015763615308789434
H3,Entry,60.0,0.0002737710207734228,9.569691749849236e-05
H3,Entry,70.0,0.00010918751696977464,2.277917782847478e-05
H3,Entry,80.0,7.386557289047205e-05,2.7159998017103095e-05
H3,Entry,90.0,8.114748031089467e-05,2.061878591465925e-05
H3,Exit,10.0,0.002772855407003774,0.0008863529214230024
H3,Exit,20.0,0.0016344997886683836,0.000113444367020626
H3,Exit,30.000000000000004,0.0010068814959543078,0.000157513186318888
H3,Exit,40.0,0.0006029525078210284,9.682126402622886e-05
H3,Exit,50.0,0.00041066210150843686,4.564786210361991e-05
H3,Exit,60.0,0.0002803014736099405,6.399620955368013e-05
H3,Exit,70.0,0.00011915555388093429,8.475198440036524e-06
H3,Exit,80.0,8.858897001868877e-05,2.5113393038766435e-05
H3,Exit,90.0,6.232727152540089e-05,3.0993649112258186e-05
H3withcenpa_latch_helix,Entry,10.0,0.0679737781801753,0.0329027086032611
H3withcenpa_latch_helix,Entry,20.0,0.05041253393314062,0.026508447676030084
H3withcenpa_latch_helix,Entry,30.000000000000004,0.037222892349665304,0.021886615379938055
H3withcenpa_latch_helix,Entry,40.0,0.028079392860253183,0.012245935718763444
H3withcenpa_latch_helix,Entry,50.0,0.016019142291388372,0.005297395167385653
H3withcenpa_latch_helix,Entry,60.0,0.011157941704283908,0.0048583672745237
H3withcenpa_latch_helix,Entry,70.0,0.007547875334668268,0.003920436328358006
H3withcenpa_latch_helix,Entry,80.0,0.002952022728006481,0.0017083827852242544
H3withcenpa_latch_helix,Entry,90.0,0.0005296586091934874,0.0003281914915878994
H3withcenpa_latch_helix,Exit,10.0,0.1387244508204615,0.08414634163543373
H3withcenpa_latch_helix,Exit,20.0,0.11779103482058789,0.06835504405466916
H3withcenpa_latch_helix,Exit,30.000000000000004,0.07674683369588377,0.0443782213309712
H3withcenpa_latch_helix,Exit,40.0,0.05298170242075313,0.025315115768303316
H3withcenpa_latch_helix,Exit,50.0,0.02653606367222404,0.008904761919551559
H3withcenpa_latch_helix,Exit,60.0,0.017483617802364126,0.007324509661650685
H3withcenpa_latch_helix,Exit,70.0,0.011946703886885165,0.006553844305855249
H3withcenpa_latch_helix,Exit,80.0,0.00656237031440654,0.00433704861046584
H3withcenpa_latch_helix,Exit,90.0,0.0012141915237957668,0.000718826085202152
H3withcenpahelix,Entry,10.0,0.03700556425447968,0.0179834545494577
H3withcenpahelix,Entry,20.0,0.030783458758615656,0.015714797370911544
H3withcenpahelix,Entry,30.000000000000004,0.024667615976581708,0.016282455690870508
H3withcenpahelix,Entry,40.0,0.023844556310002384,0.017757996730596665
H3withcenpahelix,Entry,50.0,0.023036871298470128,0.01806709841971099
H3withcenpahelix,Entry,60.0,0.012317141606012041,0.006779666815207941
H3withcenpahelix,Entry,70.0,0.0034208371246823724,0.0020426097100892707
H3withcenpahelix,Entry,80.0,0.00098447165734531,0.00038955967551258325
H3withcenpahelix,Entry,90.0,0.00026848883500330694,8.140893756574876e-05
H3withcenpahelix,Exit,10.0,0.07494263784294218,0.02767089826810015
H3withcenpahelix,Exit,20.0,0.06916257672067028,0.029938172500414854
H3withcenpahelix,Exit,30.000000000000004,0.04698756816024592,0.022965444989803768
H3withcenpahelix,Exit,40.0,0.0438467039004449,0.02451645720697086
H3withcenpahelix,Exit,50.0,0.039935406710514,0.026445965463158593
H3withcenpahelix,Exit,60.0,0.022219645691592925,0.008305165576368883
H3withcenpahelix,Exit,70.0,0.006224577544666812,0.0035619247772474636
H3withcenpahelix,Exit,80.0,0.0018952918503613505,0.00099594351311584
H3withcenpahelix,Exit,90.0,0.0004734783376949337,0.00017118962795482679
H3withcenpalatch,Entry,10.0,0.030795652745276337,0.021408985915134984
H3withcenpalatch,Entry,20.0,0.011970960034887268,0.006377070602514092
H3withcenpalatch,Entry,30.000000000000004,0.0040867854872809984,0.0028251636336663805
H3withcenpalatch,Entry,40.0,0.001763286110367062,0.00132335614638526
H3withcenpalatch,Entry,50.0,0.0009770830282001485,0.0004783024500704272
H3withcenpalatch,Entry,60.0,0.0012391095443321362,0.0005829515576851631
H3withcenpalatch,Entry,70.0,0.00032441791962893205,9.943414226031797e-05
H3withcenpalatch,Entry,80.0,0.0001294897170189323,1.977156871671168e-05
H3withcenpalatch,Entry,90.0,3.0806362776998616e-05,6.632862296708641e-06
H3withcenpalatch,Exit,10.0,0.03507767098278843,0.028608365532453838
H3withcenpalatch,Exit,20.0,0.01146810423468955,0.008401730405719968
H3withcenpalatch,Exit,30.000000000000004,0.005372325778414238,0.0042094576929392015
H3withcenpalatch,Exit,40.0,0.0027860729550205575,0.0017114852468357853
H3withcenpalatch,Exit,50.0,0.0015527865714261926,0.0008443952951272955
H3withcenpalatch,Exit,60.0,0.0009199553799031959,0.00039922846840770494
H3withcenpalatch,Exit,70.0,0.000373539027567704,0.000168167001547849
H3withcenpalatch,Exit,80.0,0.00014789970288759042,9.397953310653185e-05
H3withcenpalatch,Exit,90.0,4.883818889025974e-05,1.563640635587565e-05
cenpa,Entry,10.0,0.046176931344131235,0.016137108395974757
cenpa,Entry,20.0,0.030784954686615972,0.017072958866492873
cenpa,Entry,30.000000000000004,0.022550774808956897,0.01909843577059259
cenpa,Entry,40.0,0.007453436738277214,0.0067326471912828945
cenpa,Entry,50.0,0.002095435751559809,0.001091065257472455
cenpa,Entry,60.0,0.0009510917900958201,0.00029722005408952903
cenpa,Entry,70.0,0.0009495700294229837,0.0007912157846536146
cenpa,Entry,80.0,0.0009389491292436014,0.0007367931224870686
cenpa,Entry,90.0,0.0004901718418469193,0.00021588086345840365
cenpa,Exit,10.0,0.042483951763440005,0.02842539570742863
cenpa,Exit,20.0,0.013566155880374249,0.00607665887149867
cenpa,Exit,30.000000000000004,0.0057607197110416345,0.0025538309287338615
cenpa,Exit,40.0,0.002927071402171512,0.0015526568678595485
cenpa,Exit,50.0,0.0016253116960176543,0.0009500680388133278
cenpa,Exit,60.0,0.0009032411878972328,0.0006010094552727518
cenpa,Exit,70.0,0.0005652910071901392,0.0004361404199183405
cenpa,Exit,80.0,0.00033243987712433,0.0001985573022901958
cenpa,Exit,90.0,0.0001117670781610689,5.663793853720885e-05
cenpawithH3_latch_helix,Entry,10.0,0.15261753783134024,0.05510385466845465
cenpawithH3_latch_helix,Entry,20.0,0.07886046094082085,0.02258041067844039
cenpawithH3_latch_helix,Entry,30.000000000000004,0.03824597910019508,0.009029362196091769
cenpawithH3_latch_helix,Entry,40.0,0.014550921718214559,0.006831610139391775
cenpawithH3_latch_helix,Entry,50.0,0.0034336256797727034,0.0010985816943876983
cenpawithH3_latch_helix,Entry,60.0,0.0024037764157779137,0.0011042037126237972
cenpawithH3_latch_helix,Entry,70.0,0.0022628304883925924,0.0019306106790242454
cenpawithH3_latch_helix,Entry,80.0,0.0012197729930455827,0.000804692227303831
cenpawithH3_latch_helix,Entry,90.0,0.0005161728139430596,0.00021132854625884468
cenpawithH3_latch_helix,Exit,10.0,0.271095603852268,0.12306246541632564
cenpawithH3_latch_helix,Exit,20.0,0.09150141121400929,0.03388224385178578
cenpawithH3_latch_helix,Exit,30.000000000000004,0.035081591638993534,0.012353263236155251
cenpawithH3_latch_helix,Exit,40.0,0.01522811931444841,0.005635639138218891
