System	Tail	Region	TotalContacts	SEM
H3	entry	tails	99.147625	9.100195562728528
H3	entry	latch	57.207125	5.68733455482065
H3	entry	alphaN	27.246000000000002	2.6733524189505955
H3	exit	tails	97.03812500000001	12.201722244334034
H3	exit	latch	61.96775	5.508602232159715
H3	exit	alphaN	21.652875	2.4869001757135325
cenpa	entry	tails	118.13824999999999	11.437275496016829
cenpa	entry	latch	57.5175	3.393857933936687
cenpa	entry	alphaN	9.628375000000002	1.8809058306175244
cenpa	exit	tails	151.14000000000004	14.028901538749855
cenpa	exit	latch	45.236749999999994	6.306586563826822
cenpa	exit	alphaN	17.425625	4.5167540920629055
ltH3core	entry	tails	123.88825	10.983249854003459
ltH3core	entry	latch	45.2065	4.719150282265442
ltH3core	entry	alphaN	26.609625	2.0403291630641367
ltH3core	exit	tails	137.35712499999997	11.72751464190819
ltH3core	exit	latch	50.498625000000004	3.289746735938802
ltH3core	exit	alphaN	23.858999999999998	1.58592051301476
ltcenpacore	entry	tails	116.40825000000002	11.350264908403547
ltcenpacore	entry	latch	26.26775	4.24499539813131
ltcenpacore	entry	alphaN	7.555625	1.252455452309582
ltcenpacore	exit	tails	140.038125	8.056623615437053
ltcenpacore	exit	latch	43.2205	5.755524545504692
ltcenpacore	exit	alphaN	7.697875000000001	2.0528602641714317
CSH3	entry	tails	145.282625	11.293504354673752
CSH3	entry	latch	57.28375	6.115086752272448
CSH3	entry	alphaN	28.260625	2.2816842550429715
CSH3	exit	tails	120.813625	8.976664100459871
CSH3	exit	latch	52.682	7.899312567186526
CSH3	exit	alphaN	24.782	3.088718763991471
CScenpa	entry	tails	117.758625	13.255088861920164
CScenpa	entry	latch	72.66037499999999	8.167161968767179
CScenpa	entry	alphaN	28.509125	3.8721152307656084
CScenpa	exit	tails	115.94812499999999	10.093600051205517
CScenpa	exit	latch	72.34375	8.607646980157876
CScenpa	exit	alphaN	11.8125	1.5421609329262624
CSltH3core	entry	tails	117.66925	10.84434377882461
CSltH3core	entry	latch	42.02875	4.585742585791858
CSltH3core	entry	alphaN	20.901374999999998	2.367610832130779
CSltH3core	exit	tails	114.563	9.785464247744203
CSltH3core	exit	latch	64.83525	4.267660486964491
CSltH3core	exit	alphaN	21.54825	2.1130695573473206
CSltcenpacore	entry	tails	111.18387499999997	8.696819193798616
CSltcenpacore	entry	latch	28.158125000000002	3.0993821262980785
CSltcenpacore	entry	alphaN	5.735125	1.308481438737287
CSltcenpacore	exit	tails	115.358375	10.465333388020088
CSltcenpacore	exit	latch	39.298125	4.611267762037139
CSltcenpacore	exit	alphaN	7.333	1.564555956602384
