System	Tail	Region	TotalContacts	SEM
H3	entry	tails	61.830845	0.068362309213484
H3	entry	latch	20.301516	0.026615786931819242
H3	entry	alphaN	8.31996	0.018459425911983286
H3	exit	tails	68.60390999999998	0.07932429622127132
H3	exit	latch	11.665572000000001	0.014519330666390927
H3	exit	alphaN	9.585959	0.015917219103851025
cenpa	entry	tails	47.166549	0.0674839216702764
cenpa	entry	latch	18.054504	0.04921097913067774
cenpa	entry	alphaN	20.373167000000002	0.09912914214800812
cenpa	exit	tails	34.960971	0.16474514510600913
cenpa	exit	latch	12.961665	0.054575437203929024
cenpa	exit	alphaN	12.890543000000001	0.12774701266565885
ltH3core	entry	tails	44.31716000000001	0.23888530860435933
ltH3core	entry	latch	7.7290209999999995	0.4482229239017121
ltH3core	entry	alphaN	14.360908	0.3374654631203021
ltH3core	exit	tails	37.582774	0.49178784429467143
ltH3core	exit	latch	9.542274	0.18588700341067418
ltH3core	exit	alphaN	9.337252	0.45928204255881805
ltcenpacore	entry	tails	57.857269	0.7118277475562468
ltcenpacore	entry	latch	21.56064	0.40649410132989633
ltcenpacore	entry	alphaN	14.306191	0.9851787608444469
ltcenpacore	exit	tails	50.120929	0.9966016325719118
ltcenpacore	exit	latch	12.254075	0.3794587573597426
ltcenpacore	exit	alphaN	9.548084000000001	0.47783515886443517
thruhelixH3	entry	tails	37.718520999999996	0.6266332314089318
thruhelixH3	entry	latch	11.116192999999999	0.12954951020748784
thruhelixH3	entry	alphaN	14.513181000000001	0.29111087588408646
thruhelixH3	exit	tails	49.17519800000001	0.2230861638896505
thruhelixH3	exit	latch	11.662854	0.4029923800458267
thruhelixH3	exit	alphaN	14.678736000000002	0.9392796997795704
thruhelixcenpa	entry	tails	58.199685	0.5030996030211116
thruhelixcenpa	entry	latch	25.485818	0.4888058350285929
thruhelixcenpa	entry	alphaN	10.566627	0.8541862787887663
thruhelixcenpa	exit	tails	57.049022	1.0705739636961102
thruhelixcenpa	exit	latch	10.599875999999998	0.251441266090115
thruhelixcenpa	exit	alphaN	10.357419	0.5086283146198214
H3withcenpahelix	entry	tails	58.406701999999996	0.5212514424920088
H3withcenpahelix	entry	latch	23.246337	0.20059880222723164
H3withcenpahelix	entry	alphaN	7.6514619999999995	0.1885164679411324
H3withcenpahelix	exit	tails	64.44540300000001	0.3435562548666521
H3withcenpahelix	exit	latch	11.519298000000001	0.18829472336207406
H3withcenpahelix	exit	alphaN	5.975139	0.5153104737427718
cenpawithH3helix	entry	tails	42.268542	0.42594807705047805
cenpawithH3helix	entry	latch	15.790897999999999	0.6271152525740384
cenpawithH3helix	entry	alphaN	18.003788	1.1823400981139056
cenpawithH3helix	exit	tails	39.61611500000001	0.8330155906854326
cenpawithH3helix	exit	latch	13.019662	0.32727277221761053
cenpawithH3helix	exit	alphaN	15.969702	0.9056548545516664
stH3core	entry	tails	45.565346	0.1310691125360968
stH3core	entry	latch	7.072677	0.15363554089142265
stH3core	entry	alphaN	10.126588999999997	0.0754791481933918
stH3core	exit	tails	44.895066	0.37097256616359114
stH3core	exit	latch	9.011551	0.057694961339791184
stH3core	exit	alphaN	7.845232	0.14571553870469683
stcenpacore	entry	tails	56.27909199999999	0.4816521797158194
stcenpacore	entry	latch	22.199141	0.5179990861053715
stcenpacore	entry	alphaN	18.881775	0.8991081555524896
stcenpacore	exit	tails	43.41708	0.9812160113486733
stcenpacore	exit	latch	15.629656	0.3554463047029748
stcenpacore	exit	alphaN	12.373693999999999	0.647601841679747
H3withcenpalatch	entry	tails	58.5152	0.09110386654253483
H3withcenpalatch	entry	latch	19.323909	0.04645449842587906
H3withcenpalatch	entry	alphaN	19.052391999999998	0.03662982268589353
H3withcenpalatch	exit	tails	37.17764199999999	0.05727665414459891
H3withcenpalatch	exit	latch	16.649074	0.02860790434477856
H3withcenpalatch	exit	alphaN	14.775855	0.03513560302599061
cenpawithH3latch	entry	tails	48.198277	0.2263097941760365
cenpawithH3latch	entry	latch	14.470308	0.21520784260802395
cenpawithH3latch	entry	alphaN	13.884838	0.2596317382274363
cenpawithH3latch	exit	tails	35.78015	0.27258690581170625
cenpawithH3latch	exit	latch	9.723951	0.1263972917233593
cenpawithH3latch	exit	alphaN	8.521856	0.2250420692403978
H3withcenpa_latch_helix	entry	tails	54.784105999999994	0.7140205663172455
H3withcenpa_latch_helix	entry	latch	20.094776	0.24658909905954884
H3withcenpa_latch_helix	entry	alphaN	14.424311	0.6212429987557204
H3withcenpa_latch_helix	exit	tails	52.444003	1.2054861567185247
H3withcenpa_latch_helix	exit	latch	12.825484	0.2917525879096876
H3withcenpa_latch_helix	exit	alphaN	11.227221	0.8393071771294465
cenpawithH3_latch_helix	entry	tails	42.530032000000006	0.6228361109633898
cenpawithH3_latch_helix	entry	latch	16.570797	0.8874364436166683
cenpawithH3_latch_helix	entry	alphaN	11.569422	1.0869224536847144
cenpawithH3_latch_helix	exit	tails	41.521207	0.9892343883534377
cenpawithH3_latch_helix	exit	latch	10.905549	0.44419609012349487
cenpawithH3_latch_helix	exit	alphaN	12.867387	0.9672578184310532
